,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
4126,Average Maximum Temperature,1980M12,Birr,Degrees C,9.4,1980-12
4127,Average Maximum Temperature,1980M12,Valentia Observatory,Degrees C,10.8,1980-12
4128,Average Maximum Temperature,1980M12,Casement,Degrees C,8.8,1980-12
4129,Average Maximum Temperature,1980M12,Claremorris,Degrees C,8.9,1980-12
4130,Average Maximum Temperature,1980M12,Clones,Degrees C,8.6,1980-12
4131,Average Maximum Temperature,1980M12,Cork Airport,Degrees C,9.2,1980-12
4132,Average Maximum Temperature,1980M12,Dublin Airport,Degrees C,8.9,1980-12
4133,Average Maximum Temperature,1980M12,Galway,Degrees C,9.5,1980-12
4134,Average Maximum Temperature,1980M12,Kilkenny,Degrees C,9.2,1980-12
4135,Average Maximum Temperature,1980M12,Malin Head,Degrees C,9.3,1980-12
4136,Average Maximum Temperature,1980M12,Mullingar,Degrees C,8.8,1980-12
4137,Average Maximum Temperature,1980M12,Roches Point,Degrees C,9.8,1980-12
4138,Average Maximum Temperature,1980M12,Rosslare,Degrees C,9.4,1980-12
4139,Average Maximum Temperature,1980M12,Shannon Airport,Degrees C,9.7,1980-12
4140,Average Maximum Temperature,1981M01,Belmullet,Degrees C,9.7,1981-01
4141,Average Maximum Temperature,1981M01,Birr,Degrees C,8.9,1981-01
4142,Average Maximum Temperature,1981M01,Valentia Observatory,Degrees C,10.2,1981-01
4143,Average Maximum Temperature,1981M01,Casement,Degrees C,8.6,1981-01
4144,Average Maximum Temperature,1981M01,Claremorris,Degrees C,8.9,1981-01
4145,Average Maximum Temperature,1981M01,Clones,Degrees C,8.3,1981-01
4146,Average Maximum Temperature,1981M01,Cork Airport,Degrees C,8.9,1981-01
4147,Average Maximum Temperature,1981M01,Dublin Airport,Degrees C,8.6,1981-01
4148,Average Maximum Temperature,1981M01,Galway,Degrees C,9.1,1981-01
4149,Average Maximum Temperature,1981M01,Kilkenny,Degrees C,9.1,1981-01
4150,Average Maximum Temperature,1981M01,Malin Head,Degrees C,8.9,1981-01
4151,Average Maximum Temperature,1981M01,Mullingar,Degrees C,8.3,1981-01
4152,Average Maximum Temperature,1981M01,Roches Point,Degrees C,9.6,1981-01
4153,Average Maximum Temperature,1981M01,Rosslare,Degrees C,9.0,1981-01
4154,Average Maximum Temperature,1981M01,Shannon Airport,Degrees C,9.4,1981-01
4155,Average Maximum Temperature,1981M02,Belmullet,Degrees C,8.6,1981-02
4156,Average Maximum Temperature,1981M02,Birr,Degrees C,7.9,1981-02
4157,Average Maximum Temperature,1981M02,Valentia Observatory,Degrees C,9.6,1981-02
4158,Average Maximum Temperature,1981M02,Casement,Degrees C,7.6,1981-02
4159,Average Maximum Temperature,1981M02,Claremorris,Degrees C,7.7,1981-02
4160,Average Maximum Temperature,1981M02,Clones,Degrees C,7.2,1981-02
4161,Average Maximum Temperature,1981M02,Cork Airport,Degrees C,8.1,1981-02
4162,Average Maximum Temperature,1981M02,Dublin Airport,Degrees C,7.4,1981-02
4163,Average Maximum Temperature,1981M02,Galway,Degrees C,8.1,1981-02
4164,Average Maximum Temperature,1981M02,Kilkenny,Degrees C,7.9,1981-02
4165,Average Maximum Temperature,1981M02,Malin Head,Degrees C,7.0,1981-02
4166,Average Maximum Temperature,1981M02,Mullingar,Degrees C,7.2,1981-02
4167,Average Maximum Temperature,1981M02,Roches Point,Degrees C,8.7,1981-02
4168,Average Maximum Temperature,1981M02,Rosslare,Degrees C,7.8,1981-02
4169,Average Maximum Temperature,1981M02,Shannon Airport,Degrees C,8.7,1981-02
4170,Average Maximum Temperature,1981M03,Belmullet,Degrees C,10.5,1981-03
4171,Average Maximum Temperature,1981M03,Birr,Degrees C,11.5,1981-03
4172,Average Maximum Temperature,1981M03,Valentia Observatory,Degrees C,11.5,1981-03
4173,Average Maximum Temperature,1981M03,Casement,Degrees C,11.3,1981-03
4174,Average Maximum Temperature,1981M03,Claremorris,Degrees C,10.7,1981-03
4175,Average Maximum Temperature,1981M03,Clones,Degrees C,10.6,1981-03
4176,Average Maximum Temperature,1981M03,Cork Airport,Degrees C,10.6,1981-03
4177,Average Maximum Temperature,1981M03,Dublin Airport,Degrees C,11.2,1981-03
4178,Average Maximum Temperature,1981M03,Galway,Degrees C,11.0,1981-03
4179,Average Maximum Temperature,1981M03,Kilkenny,Degrees C,11.4,1981-03
4180,Average Maximum Temperature,1981M03,Malin Head,Degrees C,9.5,1981-03
4181,Average Maximum Temperature,1981M03,Mullingar,Degrees C,10.8,1981-03
4182,Average Maximum Temperature,1981M03,Roches Point,Degrees C,10.5,1981-03
4183,Average Maximum Temperature,1981M03,Rosslare,Degrees C,10.3,1981-03
4184,Average Maximum Temperature,1981M03,Shannon Airport,Degrees C,11.7,1981-03
4185,Average Maximum Temperature,1981M04,Belmullet,Degrees C,12.5,1981-04
4186,Average Maximum Temperature,1981M04,Birr,Degrees C,13.2,1981-04
4187,Average Maximum Temperature,1981M04,Valentia Observatory,Degrees C,13.0,1981-04
4188,Average Maximum Temperature,1981M04,Casement,Degrees C,11.7,1981-04
4189,Average Maximum Temperature,1981M04,Claremorris,Degrees C,12.9,1981-04
4190,Average Maximum Temperature,1981M04,Clones,Degrees C,12.7,1981-04
4191,Average Maximum Temperature,1981M04,Cork Airport,Degrees C,11.7,1981-04
4192,Average Maximum Temperature,1981M04,Dublin Airport,Degrees C,11.1,1981-04
4193,Average Maximum Temperature,1981M04,Galway,Degrees C,13.5,1981-04
4194,Average Maximum Temperature,1981M04,Kilkenny,Degrees C,13.0,1981-04
4195,Average Maximum Temperature,1981M04,Malin Head,Degrees C,10.8,1981-04
4196,Average Maximum Temperature,1981M04,Mullingar,Degrees C,12.2,1981-04
4197,Average Maximum Temperature,1981M04,Roches Point,Degrees C,11.4,1981-04
4198,Average Maximum Temperature,1981M04,Rosslare,Degrees C,10.6,1981-04
4199,Average Maximum Temperature,1981M04,Shannon Airport,Degrees C,13.9,1981-04
4200,Average Maximum Temperature,1981M05,Belmullet,Degrees C,13.5,1981-05
4201,Average Maximum Temperature,1981M05,Birr,Degrees C,14.3,1981-05
4202,Average Maximum Temperature,1981M05,Valentia Observatory,Degrees C,13.7,1981-05
4203,Average Maximum Temperature,1981M05,Casement,Degrees C,14.8,1981-05
4204,Average Maximum Temperature,1981M05,Claremorris,Degrees C,14.3,1981-05
4205,Average Maximum Temperature,1981M05,Clones,Degrees C,14.6,1981-05
4206,Average Maximum Temperature,1981M05,Cork Airport,Degrees C,13.1,1981-05
4207,Average Maximum Temperature,1981M05,Dublin Airport,Degrees C,14.2,1981-05
4208,Average Maximum Temperature,1981M05,Galway,Degrees C,14.1,1981-05
4209,Average Maximum Temperature,1981M05,Kilkenny,Degrees C,14.4,1981-05
4210,Average Maximum Temperature,1981M05,Malin Head,Degrees C,12.7,1981-05
4211,Average Maximum Temperature,1981M05,Mullingar,Degrees C,14.3,1981-05
4212,Average Maximum Temperature,1981M05,Roches Point,Degrees C,13.2,1981-05
4213,Average Maximum Temperature,1981M05,Rosslare,Degrees C,13.0,1981-05
4214,Average Maximum Temperature,1981M05,Shannon Airport,Degrees C,14.3,1981-05
4215,Average Maximum Temperature,1981M06,Belmullet,Degrees C,14.5,1981-06
4216,Average Maximum Temperature,1981M06,Birr,Degrees C,16.6,1981-06
4217,Average Maximum Temperature,1981M06,Valentia Observatory,Degrees C,15.5,1981-06
4218,Average Maximum Temperature,1981M06,Casement,Degrees C,16.8,1981-06
4219,Average Maximum Temperature,1981M06,Claremorris,Degrees C,15.8,1981-06
4220,Average Maximum Temperature,1981M06,Clones,Degrees C,16.1,1981-06
4221,Average Maximum Temperature,1981M06,Cork Airport,Degrees C,16.0,1981-06
4222,Average Maximum Temperature,1981M06,Dublin Airport,Degrees C,16.6,1981-06
4223,Average Maximum Temperature,1981M06,Galway,Degrees C,15.8,1981-06
4224,Average Maximum Temperature,1981M06,Kilkenny,Degrees C,16.9,1981-06
4225,Average Maximum Temperature,1981M06,Malin Head,Degrees C,14.3,1981-06
4226,Average Maximum Temperature,1981M06,Mullingar,Degrees C,15.9,1981-06
4227,Average Maximum Temperature,1981M06,Roches Point,Degrees C,15.8,1981-06
4228,Average Maximum Temperature,1981M06,Rosslare,Degrees C,15.7,1981-06
4229,Average Maximum Temperature,1981M06,Shannon Airport,Degrees C,16.7,1981-06
4230,Average Maximum Temperature,1981M07,Belmullet,Degrees C,15.6,1981-07
4231,Average Maximum Temperature,1981M07,Birr,Degrees C,17.7,1981-07
