Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1984 October,Domestic,Million Litres,337.2
Intake of Cows Milk by Creameries and Pasteurisers,1984 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 November,Domestic,Million Litres,180.4
Intake of Cows Milk by Creameries and Pasteurisers,1984 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 December,Domestic,Million Litres,132.8
Intake of Cows Milk by Creameries and Pasteurisers,1984 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 January,Domestic,Million Litres,164.3
Intake of Cows Milk by Creameries and Pasteurisers,1985 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 February,Domestic,Million Litres,270.6
Intake of Cows Milk by Creameries and Pasteurisers,1985 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 March,Domestic,Million Litres,462.6
Intake of Cows Milk by Creameries and Pasteurisers,1985 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 April,Domestic,Million Litres,646.8
Intake of Cows Milk by Creameries and Pasteurisers,1985 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 May,Domestic,Million Litres,818.6
Intake of Cows Milk by Creameries and Pasteurisers,1985 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 June,Domestic,Million Litres,767.8
Intake of Cows Milk by Creameries and Pasteurisers,1985 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 July,Domestic,Million Litres,708.9
Intake of Cows Milk by Creameries and Pasteurisers,1985 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 August,Domestic,Million Litres,598.3
Intake of Cows Milk by Creameries and Pasteurisers,1985 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 September,Domestic,Million Litres,453
Intake of Cows Milk by Creameries and Pasteurisers,1985 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 October,Domestic,Million Litres,333.7
Intake of Cows Milk by Creameries and Pasteurisers,1985 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 November,Domestic,Million Litres,173.9
Intake of Cows Milk by Creameries and Pasteurisers,1985 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1985 December,Domestic,Million Litres,119.8
Intake of Cows Milk by Creameries and Pasteurisers,1985 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 January,Domestic,Million Litres,148.1
Intake of Cows Milk by Creameries and Pasteurisers,1986 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 February,Domestic,Million Litres,239.3
Intake of Cows Milk by Creameries and Pasteurisers,1986 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 March,Domestic,Million Litres,418.6
Intake of Cows Milk by Creameries and Pasteurisers,1986 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 April,Domestic,Million Litres,573.1
Intake of Cows Milk by Creameries and Pasteurisers,1986 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 May,Domestic,Million Litres,765.8
Intake of Cows Milk by Creameries and Pasteurisers,1986 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 June,Domestic,Million Litres,751.4
Intake of Cows Milk by Creameries and Pasteurisers,1986 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 July,Domestic,Million Litres,683.3
Intake of Cows Milk by Creameries and Pasteurisers,1986 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 August,Domestic,Million Litres,577.3
Intake of Cows Milk by Creameries and Pasteurisers,1986 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 September,Domestic,Million Litres,472.6
Intake of Cows Milk by Creameries and Pasteurisers,1986 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 October,Domestic,Million Litres,365.9
Intake of Cows Milk by Creameries and Pasteurisers,1986 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 November,Domestic,Million Litres,189.4
Intake of Cows Milk by Creameries and Pasteurisers,1986 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1986 December,Domestic,Million Litres,135.3
Intake of Cows Milk by Creameries and Pasteurisers,1986 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 January,Domestic,Million Litres,148.9
Intake of Cows Milk by Creameries and Pasteurisers,1987 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 February,Domestic,Million Litres,239.3
Intake of Cows Milk by Creameries and Pasteurisers,1987 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 March,Domestic,Million Litres,449.6
Intake of Cows Milk by Creameries and Pasteurisers,1987 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 April,Domestic,Million Litres,553.8
Intake of Cows Milk by Creameries and Pasteurisers,1987 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 May,Domestic,Million Litres,759.8
Intake of Cows Milk by Creameries and Pasteurisers,1987 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 June,Domestic,Million Litres,714.4
Intake of Cows Milk by Creameries and Pasteurisers,1987 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 July,Domestic,Million Litres,675.4
Intake of Cows Milk by Creameries and Pasteurisers,1987 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 August,Domestic,Million Litres,589.1
Intake of Cows Milk by Creameries and Pasteurisers,1987 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 September,Domestic,Million Litres,470.1
Intake of Cows Milk by Creameries and Pasteurisers,1987 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 October,Domestic,Million Litres,337.4
Intake of Cows Milk by Creameries and Pasteurisers,1987 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 November,Domestic,Million Litres,173.4
Intake of Cows Milk by Creameries and Pasteurisers,1987 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1987 December,Domestic,Million Litres,123.8
Intake of Cows Milk by Creameries and Pasteurisers,1987 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 January,Domestic,Million Litres,137.8
Intake of Cows Milk by Creameries and Pasteurisers,1988 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 February,Domestic,Million Litres,218.6
Intake of Cows Milk by Creameries and Pasteurisers,1988 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 March,Domestic,Million Litres,363.9
Intake of Cows Milk by Creameries and Pasteurisers,1988 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 April,Domestic,Million Litres,605.4
Intake of Cows Milk by Creameries and Pasteurisers,1988 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 May,Domestic,Million Litres,748.3
Intake of Cows Milk by Creameries and Pasteurisers,1988 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 June,Domestic,Million Litres,702.7
Intake of Cows Milk by Creameries and Pasteurisers,1988 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 July,Domestic,Million Litres,654.8
Intake of Cows Milk by Creameries and Pasteurisers,1988 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 August,Domestic,Million Litres,582.5
Intake of Cows Milk by Creameries and Pasteurisers,1988 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 September,Domestic,Million Litres,453.9
Intake of Cows Milk by Creameries and Pasteurisers,1988 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 October,Domestic,Million Litres,292.2
Intake of Cows Milk by Creameries and Pasteurisers,1988 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 November,Domestic,Million Litres,148
Intake of Cows Milk by Creameries and Pasteurisers,1988 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1988 December,Domestic,Million Litres,115.3
