Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Protein Content,1975 September,Domestic,%,
Protein Content,1975 September,Import,%,
Protein Content,1975 October,Domestic,%,
Protein Content,1975 October,Import,%,
Protein Content,1975 November,Domestic,%,
Protein Content,1975 November,Import,%,
Protein Content,1975 December,Domestic,%,
Protein Content,1975 December,Import,%,
Protein Content,1976 January,Domestic,%,
Protein Content,1976 January,Import,%,
Protein Content,1976 February,Domestic,%,
Protein Content,1976 February,Import,%,
Protein Content,1976 March,Domestic,%,
Protein Content,1976 March,Import,%,
Protein Content,1976 April,Domestic,%,
Protein Content,1976 April,Import,%,
Protein Content,1976 May,Domestic,%,
Protein Content,1976 May,Import,%,
Protein Content,1976 June,Domestic,%,
Protein Content,1976 June,Import,%,
Protein Content,1976 July,Domestic,%,
Protein Content,1976 July,Import,%,
Protein Content,1976 August,Domestic,%,
Protein Content,1976 August,Import,%,
Protein Content,1976 September,Domestic,%,
Protein Content,1976 September,Import,%,
Protein Content,1976 October,Domestic,%,
Protein Content,1976 October,Import,%,
Protein Content,1976 November,Domestic,%,
Protein Content,1976 November,Import,%,
Protein Content,1976 December,Domestic,%,
Protein Content,1976 December,Import,%,
Protein Content,1977 January,Domestic,%,
Protein Content,1977 January,Import,%,
Protein Content,1977 February,Domestic,%,
Protein Content,1977 February,Import,%,
Protein Content,1977 March,Domestic,%,
Protein Content,1977 March,Import,%,
Protein Content,1977 April,Domestic,%,
Protein Content,1977 April,Import,%,
Protein Content,1977 May,Domestic,%,
Protein Content,1977 May,Import,%,
Protein Content,1977 June,Domestic,%,
Protein Content,1977 June,Import,%,
Protein Content,1977 July,Domestic,%,
Protein Content,1977 July,Import,%,
Protein Content,1977 August,Domestic,%,
Protein Content,1977 August,Import,%,
Protein Content,1977 September,Domestic,%,
Protein Content,1977 September,Import,%,
Protein Content,1977 October,Domestic,%,
Protein Content,1977 October,Import,%,
Protein Content,1977 November,Domestic,%,
Protein Content,1977 November,Import,%,
Protein Content,1977 December,Domestic,%,
Protein Content,1977 December,Import,%,
Protein Content,1978 January,Domestic,%,
Protein Content,1978 January,Import,%,
Protein Content,1978 February,Domestic,%,
Protein Content,1978 February,Import,%,
Protein Content,1978 March,Domestic,%,
Protein Content,1978 March,Import,%,
Protein Content,1978 April,Domestic,%,
Protein Content,1978 April,Import,%,
Protein Content,1978 May,Domestic,%,
Protein Content,1978 May,Import,%,
Protein Content,1978 June,Domestic,%,
Protein Content,1978 June,Import,%,
Protein Content,1978 July,Domestic,%,
Protein Content,1978 July,Import,%,
Protein Content,1978 August,Domestic,%,
Protein Content,1978 August,Import,%,
Protein Content,1978 September,Domestic,%,
Protein Content,1978 September,Import,%,
Protein Content,1978 October,Domestic,%,
Protein Content,1978 October,Import,%,
Protein Content,1978 November,Domestic,%,
Protein Content,1978 November,Import,%,
Protein Content,1978 December,Domestic,%,
Protein Content,1978 December,Import,%,
Protein Content,1979 January,Domestic,%,
Protein Content,1979 January,Import,%,
Protein Content,1979 February,Domestic,%,
Protein Content,1979 February,Import,%,
Protein Content,1979 March,Domestic,%,
Protein Content,1979 March,Import,%,
Protein Content,1979 April,Domestic,%,
Protein Content,1979 April,Import,%,
Protein Content,1979 May,Domestic,%,
Protein Content,1979 May,Import,%,
Protein Content,1979 June,Domestic,%,
Protein Content,1979 June,Import,%,
Protein Content,1979 July,Domestic,%,
Protein Content,1979 July,Import,%,
Protein Content,1979 August,Domestic,%,
Protein Content,1979 August,Import,%,
Protein Content,1979 September,Domestic,%,
Protein Content,1979 September,Import,%,
Protein Content,1979 October,Domestic,%,
Protein Content,1979 October,Import,%,
Protein Content,1979 November,Domestic,%,
Protein Content,1979 November,Import,%,
Protein Content,1979 December,Domestic,%,
Protein Content,1979 December,Import,%,
Protein Content,1980 January,Domestic,%,3.15
Protein Content,1980 January,Import,%,
Protein Content,1980 February,Domestic,%,3.16
Protein Content,1980 February,Import,%,
Protein Content,1980 March,Domestic,%,2.92
Protein Content,1980 March,Import,%,
Protein Content,1980 April,Domestic,%,3.03
Protein Content,1980 April,Import,%,
Protein Content,1980 May,Domestic,%,3.17
Protein Content,1980 May,Import,%,
Protein Content,1980 June,Domestic,%,3.12
Protein Content,1980 June,Import,%,
Protein Content,1980 July,Domestic,%,3.09
Protein Content,1980 July,Import,%,
Protein Content,1980 August,Domestic,%,3.17
Protein Content,1980 August,Import,%,
Protein Content,1980 September,Domestic,%,3.4
Protein Content,1980 September,Import,%,
Protein Content,1980 October,Domestic,%,3.65
Protein Content,1980 October,Import,%,
Protein Content,1980 November,Domestic,%,3.76
Protein Content,1980 November,Import,%,
Protein Content,1980 December,Domestic,%,3.34
Protein Content,1980 December,Import,%,
Protein Content,1981 January,Domestic,%,3.1
Protein Content,1981 January,Import,%,
Protein Content,1981 February,Domestic,%,3.2
Protein Content,1981 February,Import,%,
Protein Content,1981 March,Domestic,%,2.9
Protein Content,1981 March,Import,%,
Protein Content,1981 April,Domestic,%,3.15
Protein Content,1981 April,Import,%,
Protein Content,1981 May,Domestic,%,3.24
Protein Content,1981 May,Import,%,
Protein Content,1981 June,Domestic,%,3.24
Protein Content,1981 June,Import,%,
Protein Content,1981 July,Domestic,%,3.25
Protein Content,1981 July,Import,%,
Protein Content,1981 August,Domestic,%,3.25
Protein Content,1981 August,Import,%,
Protein Content,1981 September,Domestic,%,3.56
Protein Content,1981 September,Import,%,
Protein Content,1981 October,Domestic,%,3.86
Protein Content,1981 October,Import,%,
Protein Content,1981 November,Domestic,%,3.94
Protein Content,1981 November,Import,%,
Protein Content,1981 December,Domestic,%,3.72
Protein Content,1981 December,Import,%,
Protein Content,1982 January,Domestic,%,3.27
Protein Content,1982 January,Import,%,
Protein Content,1982 February,Domestic,%,3.12
Protein Content,1982 February,Import,%,
Protein Content,1982 March,Domestic,%,3.03
Protein Content,1982 March,Import,%,
Protein Content,1982 April,Domestic,%,3.09
Protein Content,1982 April,Import,%,
Protein Content,1982 May,Domestic,%,3.34
Protein Content,1982 May,Import,%,
Protein Content,1982 June,Domestic,%,3.34
Protein Content,1982 June,Import,%,
Protein Content,1982 July,Domestic,%,3.3
Protein Content,1982 July,Import,%,
Protein Content,1982 August,Domestic,%,3.29
Protein Content,1982 August,Import,%,
Protein Content,1982 September,Domestic,%,3.41
Protein Content,1982 September,Import,%,
Protein Content,1982 October,Domestic,%,3.72
Protein Content,1982 October,Import,%,
Protein Content,1982 November,Domestic,%,4.04
Protein Content,1982 November,Import,%,
Protein Content,1982 December,Domestic,%,3.69
Protein Content,1982 December,Import,%,
Protein Content,1983 January,Domestic,%,3.3
Protein Content,1983 January,Import,%,
Protein Content,1983 February,Domestic,%,3.1
Protein Content,1983 February,Import,%,
Protein Content,1983 March,Domestic,%,2.93
Protein Content,1983 March,Import,%,
Protein Content,1983 April,Domestic,%,3.06
Protein Content,1983 April,Import,%,
Protein Content,1983 May,Domestic,%,3.21
Protein Content,1983 May,Import,%,
Protein Content,1983 June,Domestic,%,3.29
Protein Content,1983 June,Import,%,
Protein Content,1983 July,Domestic,%,3.2
Protein Content,1983 July,Import,%,
Protein Content,1983 August,Domestic,%,3.19
Protein Content,1983 August,Import,%,
Protein Content,1983 September,Domestic,%,3.55
Protein Content,1983 September,Import,%,
Protein Content,1983 October,Domestic,%,3.71
Protein Content,1983 October,Import,%,
Protein Content,1983 November,Domestic,%,3.94
Protein Content,1983 November,Import,%,
Protein Content,1983 December,Domestic,%,3.66
Protein Content,1983 December,Import,%,
Protein Content,1984 January,Domestic,%,3.32
Protein Content,1984 January,Import,%,
Protein Content,1984 February,Domestic,%,3.05
Protein Content,1984 February,Import,%,
Protein Content,1984 March,Domestic,%,2.89
Protein Content,1984 March,Import,%,
Protein Content,1984 April,Domestic,%,3.07
Protein Content,1984 April,Import,%,
Protein Content,1984 May,Domestic,%,3.27
Protein Content,1984 May,Import,%,
Protein Content,1984 June,Domestic,%,3.22
Protein Content,1984 June,Import,%,
Protein Content,1984 July,Domestic,%,3.17
Protein Content,1984 July,Import,%,
Protein Content,1984 August,Domestic,%,3.26
Protein Content,1984 August,Import,%,
Protein Content,1984 September,Domestic,%,3.48
Protein Content,1984 September,Import,%,
Protein Content,1984 October,Domestic,%,3.73
Protein Content,1984 October,Import,%,
Protein Content,1984 November,Domestic,%,3.92
Protein Content,1984 November,Import,%,
Protein Content,1984 December,Domestic,%,3.7
Protein Content,1984 December,Import,%,
Protein Content,1985 January,Domestic,%,3.39
Protein Content,1985 January,Import,%,
Protein Content,1985 February,Domestic,%,3.15
Protein Content,1985 February,Import,%,
Protein Content,1985 March,Domestic,%,2.99
Protein Content,1985 March,Import,%,
Protein Content,1985 April,Domestic,%,3.02
Protein Content,1985 April,Import,%,
Protein Content,1985 May,Domestic,%,3.23
Protein Content,1985 May,Import,%,
Protein Content,1985 June,Domestic,%,3.22
Protein Content,1985 June,Import,%,
Protein Content,1985 July,Domestic,%,3.2
Protein Content,1985 July,Import,%,
Protein Content,1985 August,Domestic,%,3.32
Protein Content,1985 August,Import,%,
Protein Content,1985 September,Domestic,%,3.45
Protein Content,1985 September,Import,%,
Protein Content,1985 October,Domestic,%,3.68
Protein Content,1985 October,Import,%,
Protein Content,1985 November,Domestic,%,3.89
Protein Content,1985 November,Import,%,
Protein Content,1985 December,Domestic,%,3.54
Protein Content,1985 December,Import,%,
Protein Content,1986 January,Domestic,%,3.21
Protein Content,1986 January,Import,%,
Protein Content,1986 February,Domestic,%,3.11
Protein Content,1986 February,Import,%,
Protein Content,1986 March,Domestic,%,2.92
Protein Content,1986 March,Import,%,
Protein Content,1986 April,Domestic,%,2.92
Protein Content,1986 April,Import,%,
Protein Content,1986 May,Domestic,%,3.13
Protein Content,1986 May,Import,%,
Protein Content,1986 June,Domestic,%,3.23
Protein Content,1986 June,Import,%,
Protein Content,1986 July,Domestic,%,3.18
Protein Content,1986 July,Import,%,
Protein Content,1986 August,Domestic,%,3.28
Protein Content,1986 August,Import,%,
Protein Content,1986 September,Domestic,%,3.46
Protein Content,1986 September,Import,%,
Protein Content,1986 October,Domestic,%,3.64
Protein Content,1986 October,Import,%,
Protein Content,1986 November,Domestic,%,3.75
Protein Content,1986 November,Import,%,
Protein Content,1986 December,Domestic,%,3.37
Protein Content,1986 December,Import,%,
Protein Content,1987 January,Domestic,%,3.14
Protein Content,1987 January,Import,%,
Protein Content,1987 February,Domestic,%,3.05
Protein Content,1987 February,Import,%,
Protein Content,1987 March,Domestic,%,2.94
Protein Content,1987 March,Import,%,
Protein Content,1987 April,Domestic,%,3
Protein Content,1987 April,Import,%,
Protein Content,1987 May,Domestic,%,3.16
Protein Content,1987 May,Import,%,
Protein Content,1987 June,Domestic,%,3.18
Protein Content,1987 June,Import,%,
Protein Content,1987 July,Domestic,%,3.17
Protein Content,1987 July,Import,%,
Protein Content,1987 August,Domestic,%,3.21
Protein Content,1987 August,Import,%,
Protein Content,1987 September,Domestic,%,3.37
Protein Content,1987 September,Import,%,
Protein Content,1987 October,Domestic,%,3.62
Protein Content,1987 October,Import,%,
Protein Content,1987 November,Domestic,%,3.59
Protein Content,1987 November,Import,%,
Protein Content,1987 December,Domestic,%,3.36
Protein Content,1987 December,Import,%,
Protein Content,1988 January,Domestic,%,3.12
Protein Content,1988 January,Import,%,
Protein Content,1988 February,Domestic,%,3.03
Protein Content,1988 February,Import,%,
Protein Content,1988 March,Domestic,%,2.91
Protein Content,1988 March,Import,%,
Protein Content,1988 April,Domestic,%,3.03
Protein Content,1988 April,Import,%,
Protein Content,1988 May,Domestic,%,3.14
Protein Content,1988 May,Import,%,
Protein Content,1988 June,Domestic,%,3.14
Protein Content,1988 June,Import,%,
Protein Content,1988 July,Domestic,%,3.15
Protein Content,1988 July,Import,%,
Protein Content,1988 August,Domestic,%,3.23
Protein Content,1988 August,Import,%,
Protein Content,1988 September,Domestic,%,3.4
Protein Content,1988 September,Import,%,
Protein Content,1988 October,Domestic,%,3.6
Protein Content,1988 October,Import,%,
Protein Content,1988 November,Domestic,%,3.5
Protein Content,1988 November,Import,%,
Protein Content,1988 December,Domestic,%,3.21
Protein Content,1988 December,Import,%,
Protein Content,1989 January,Domestic,%,3.06
Protein Content,1989 January,Import,%,
Protein Content,1989 February,Domestic,%,2.96
Protein Content,1989 February,Import,%,
Protein Content,1989 March,Domestic,%,2.86
Protein Content,1989 March,Import,%,
Protein Content,1989 April,Domestic,%,2.93
Protein Content,1989 April,Import,%,
Protein Content,1989 May,Domestic,%,3.16
Protein Content,1989 May,Import,%,
Protein Content,1989 June,Domestic,%,3.15
Protein Content,1989 June,Import,%,
Protein Content,1989 July,Domestic,%,3.12
Protein Content,1989 July,Import,%,
Protein Content,1989 August,Domestic,%,3.19
Protein Content,1989 August,Import,%,
Protein Content,1989 September,Domestic,%,3.42
Protein Content,1989 September,Import,%,
Protein Content,1989 October,Domestic,%,3.57
Protein Content,1989 October,Import,%,
Protein Content,1989 November,Domestic,%,3.59
Protein Content,1989 November,Import,%,
Protein Content,1989 December,Domestic,%,3.32
Protein Content,1989 December,Import,%,
Protein Content,1990 January,Domestic,%,3.08
Protein Content,1990 January,Import,%,
Protein Content,1990 February,Domestic,%,3
Protein Content,1990 February,Import,%,
Protein Content,1990 March,Domestic,%,3
Protein Content,1990 March,Import,%,
Protein Content,1990 April,Domestic,%,3.08
Protein Content,1990 April,Import,%,
Protein Content,1990 May,Domestic,%,3.16
Protein Content,1990 May,Import,%,
Protein Content,1990 June,Domestic,%,3.17
Protein Content,1990 June,Import,%,
Protein Content,1990 July,Domestic,%,3.16
Protein Content,1990 July,Import,%,
Protein Content,1990 August,Domestic,%,3.19
Protein Content,1990 August,Import,%,
Protein Content,1990 September,Domestic,%,3.46
Protein Content,1990 September,Import,%,
Protein Content,1990 October,Domestic,%,3.64
Protein Content,1990 October,Import,%,
Protein Content,1990 November,Domestic,%,3.55
Protein Content,1990 November,Import,%,
Protein Content,1990 December,Domestic,%,3.29
Protein Content,1990 December,Import,%,
Protein Content,1991 January,Domestic,%,3.12
Protein Content,1991 January,Import,%,
Protein Content,1991 February,Domestic,%,3.01
Protein Content,1991 February,Import,%,
Protein Content,1991 March,Domestic,%,2.91
Protein Content,1991 March,Import,%,
Protein Content,1991 April,Domestic,%,3.02
Protein Content,1991 April,Import,%,
Protein Content,1991 May,Domestic,%,3.17
Protein Content,1991 May,Import,%,
Protein Content,1991 June,Domestic,%,3.17
Protein Content,1991 June,Import,%,
Protein Content,1991 July,Domestic,%,3.18
Protein Content,1991 July,Import,%,
Protein Content,1991 August,Domestic,%,3.2
Protein Content,1991 August,Import,%,
Protein Content,1991 September,Domestic,%,3.34
Protein Content,1991 September,Import,%,
Protein Content,1991 October,Domestic,%,3.56
Protein Content,1991 October,Import,%,
Protein Content,1991 November,Domestic,%,3.51
Protein Content,1991 November,Import,%,
Protein Content,1991 December,Domestic,%,3.27
Protein Content,1991 December,Import,%,
Protein Content,1992 January,Domestic,%,3.11
Protein Content,1992 January,Import,%,
Protein Content,1992 February,Domestic,%,3.02
Protein Content,1992 February,Import,%,
Protein Content,1992 March,Domestic,%,2.94
Protein Content,1992 March,Import,%,
Protein Content,1992 April,Domestic,%,3.09
Protein Content,1992 April,Import,%,
Protein Content,1992 May,Domestic,%,3.16
Protein Content,1992 May,Import,%,
Protein Content,1992 June,Domestic,%,3.16
Protein Content,1992 June,Import,%,
Protein Content,1992 July,Domestic,%,3.16
Protein Content,1992 July,Import,%,
Protein Content,1992 August,Domestic,%,3.25
Protein Content,1992 August,Import,%,
Protein Content,1992 September,Domestic,%,3.41
Protein Content,1992 September,Import,%,
Protein Content,1992 October,Domestic,%,3.57
Protein Content,1992 October,Import,%,
Protein Content,1992 November,Domestic,%,3.5
Protein Content,1992 November,Import,%,
Protein Content,1992 December,Domestic,%,3.25
Protein Content,1992 December,Import,%,
Protein Content,1993 January,Domestic,%,3.04
Protein Content,1993 January,Import,%,
Protein Content,1993 February,Domestic,%,3.01
Protein Content,1993 February,Import,%,
Protein Content,1993 March,Domestic,%,2.99
Protein Content,1993 March,Import,%,
Protein Content,1993 April,Domestic,%,3.06
Protein Content,1993 April,Import,%,
Protein Content,1993 May,Domestic,%,3.16
Protein Content,1993 May,Import,%,
Protein Content,1993 June,Domestic,%,3.15
Protein Content,1993 June,Import,%,
Protein Content,1993 July,Domestic,%,3.17
Protein Content,1993 July,Import,%,
Protein Content,1993 August,Domestic,%,3.23
Protein Content,1993 August,Import,%,
Protein Content,1993 September,Domestic,%,3.41
Protein Content,1993 September,Import,%,
Protein Content,1993 October,Domestic,%,3.58
Protein Content,1993 October,Import,%,
Protein Content,1993 November,Domestic,%,3.51
Protein Content,1993 November,Import,%,
Protein Content,1993 December,Domestic,%,3.22
Protein Content,1993 December,Import,%,
Protein Content,1994 January,Domestic,%,3.06
Protein Content,1994 January,Import,%,
Protein Content,1994 February,Domestic,%,2.98
Protein Content,1994 February,Import,%,
Protein Content,1994 March,Domestic,%,2.93
Protein Content,1994 March,Import,%,
Protein Content,1994 April,Domestic,%,3.01
Protein Content,1994 April,Import,%,
Protein Content,1994 May,Domestic,%,3.17
Protein Content,1994 May,Import,%,
Protein Content,1994 June,Domestic,%,3.19
Protein Content,1994 June,Import,%,
Protein Content,1994 July,Domestic,%,3.19
Protein Content,1994 July,Import,%,
Protein Content,1994 August,Domestic,%,3.23
Protein Content,1994 August,Import,%,
Protein Content,1994 September,Domestic,%,3.4
Protein Content,1994 September,Import,%,
Protein Content,1994 October,Domestic,%,3.55
Protein Content,1994 October,Import,%,
Protein Content,1994 November,Domestic,%,3.48
Protein Content,1994 November,Import,%,
Protein Content,1994 December,Domestic,%,3.26
Protein Content,1994 December,Import,%,
Protein Content,1995 January,Domestic,%,3.12
Protein Content,1995 January,Import,%,
Protein Content,1995 February,Domestic,%,3.02
Protein Content,1995 February,Import,%,
Protein Content,1995 March,Domestic,%,2.97
Protein Content,1995 March,Import,%,
Protein Content,1995 April,Domestic,%,3.06
Protein Content,1995 April,Import,%,
Protein Content,1995 May,Domestic,%,3.18
Protein Content,1995 May,Import,%,
Protein Content,1995 June,Domestic,%,3.17
Protein Content,1995 June,Import,%,
Protein Content,1995 July,Domestic,%,3.17
Protein Content,1995 July,Import,%,
Protein Content,1995 August,Domestic,%,3.15
Protein Content,1995 August,Import,%,
Protein Content,1995 September,Domestic,%,3.3
Protein Content,1995 September,Import,%,
Protein Content,1995 October,Domestic,%,3.47
Protein Content,1995 October,Import,%,
Protein Content,1995 November,Domestic,%,3.49
Protein Content,1995 November,Import,%,
Protein Content,1995 December,Domestic,%,3.27
Protein Content,1995 December,Import,%,
Protein Content,1996 January,Domestic,%,3.1
Protein Content,1996 January,Import,%,
Protein Content,1996 February,Domestic,%,3.05
Protein Content,1996 February,Import,%,
Protein Content,1996 March,Domestic,%,2.94
Protein Content,1996 March,Import,%,
Protein Content,1996 April,Domestic,%,2.94
Protein Content,1996 April,Import,%,
Protein Content,1996 May,Domestic,%,3.18
Protein Content,1996 May,Import,%,
Protein Content,1996 June,Domestic,%,3.2
Protein Content,1996 June,Import,%,
Protein Content,1996 July,Domestic,%,3.19
Protein Content,1996 July,Import,%,
Protein Content,1996 August,Domestic,%,3.2
Protein Content,1996 August,Import,%,
Protein Content,1996 September,Domestic,%,3.36
Protein Content,1996 September,Import,%,
Protein Content,1996 October,Domestic,%,3.52
Protein Content,1996 October,Import,%,
Protein Content,1996 November,Domestic,%,3.45
Protein Content,1996 November,Import,%,
Protein Content,1996 December,Domestic,%,3.21
Protein Content,1996 December,Import,%,
Protein Content,1997 January,Domestic,%,3.07
Protein Content,1997 January,Import,%,
Protein Content,1997 February,Domestic,%,3.01
Protein Content,1997 February,Import,%,
Protein Content,1997 March,Domestic,%,2.97
Protein Content,1997 March,Import,%,
Protein Content,1997 April,Domestic,%,3.11
Protein Content,1997 April,Import,%,
Protein Content,1997 May,Domestic,%,3.16
Protein Content,1997 May,Import,%,
Protein Content,1997 June,Domestic,%,3.17
Protein Content,1997 June,Import,%,
Protein Content,1997 July,Domestic,%,3.2
Protein Content,1997 July,Import,%,
Protein Content,1997 August,Domestic,%,3.23
Protein Content,1997 August,Import,%,
Protein Content,1997 September,Domestic,%,3.41
Protein Content,1997 September,Import,%,
Protein Content,1997 October,Domestic,%,3.54
Protein Content,1997 October,Import,%,
Protein Content,1997 November,Domestic,%,3.46
Protein Content,1997 November,Import,%,
Protein Content,1997 December,Domestic,%,3.23
Protein Content,1997 December,Import,%,
Protein Content,1998 January,Domestic,%,3.08
Protein Content,1998 January,Import,%,
Protein Content,1998 February,Domestic,%,3.05
Protein Content,1998 February,Import,%,
Protein Content,1998 March,Domestic,%,3.02
Protein Content,1998 March,Import,%,
Protein Content,1998 April,Domestic,%,3.12
Protein Content,1998 April,Import,%,
Protein Content,1998 May,Domestic,%,3.18
Protein Content,1998 May,Import,%,
Protein Content,1998 June,Domestic,%,3.2
Protein Content,1998 June,Import,%,
Protein Content,1998 July,Domestic,%,3.2
Protein Content,1998 July,Import,%,
Protein Content,1998 August,Domestic,%,3.26
Protein Content,1998 August,Import,%,
Protein Content,1998 September,Domestic,%,3.43
Protein Content,1998 September,Import,%,
Protein Content,1998 October,Domestic,%,3.58
Protein Content,1998 October,Import,%,
Protein Content,1998 November,Domestic,%,3.44
Protein Content,1998 November,Import,%,
Protein Content,1998 December,Domestic,%,3.23
Protein Content,1998 December,Import,%,
Protein Content,1999 January,Domestic,%,3.13
Protein Content,1999 January,Import,%,
Protein Content,1999 February,Domestic,%,3.09
Protein Content,1999 February,Import,%,
Protein Content,1999 March,Domestic,%,3.04
Protein Content,1999 March,Import,%,
Protein Content,1999 April,Domestic,%,3.14
Protein Content,1999 April,Import,%,
Protein Content,1999 May,Domestic,%,3.19
Protein Content,1999 May,Import,%,
Protein Content,1999 June,Domestic,%,3.22
Protein Content,1999 June,Import,%,
Protein Content,1999 July,Domestic,%,3.22
Protein Content,1999 July,Import,%,
Protein Content,1999 August,Domestic,%,3.26
Protein Content,1999 August,Import,%,
Protein Content,1999 September,Domestic,%,3.42
Protein Content,1999 September,Import,%,
Protein Content,1999 October,Domestic,%,3.58
Protein Content,1999 October,Import,%,
Protein Content,1999 November,Domestic,%,3.49
Protein Content,1999 November,Import,%,
Protein Content,1999 December,Domestic,%,3.25
Protein Content,1999 December,Import,%,
Protein Content,2000 January,Domestic,%,3.09
Protein Content,2000 January,Import,%,
Protein Content,2000 February,Domestic,%,3.07
Protein Content,2000 February,Import,%,
Protein Content,2000 March,Domestic,%,3.06
Protein Content,2000 March,Import,%,
Protein Content,2000 April,Domestic,%,3.21
Protein Content,2000 April,Import,%,
Protein Content,2000 May,Domestic,%,3.23
Protein Content,2000 May,Import,%,
Protein Content,2000 June,Domestic,%,3.24
Protein Content,2000 June,Import,%,
Protein Content,2000 July,Domestic,%,3.22
Protein Content,2000 July,Import,%,
Protein Content,2000 August,Domestic,%,3.27
Protein Content,2000 August,Import,%,
Protein Content,2000 September,Domestic,%,3.47
Protein Content,2000 September,Import,%,
Protein Content,2000 October,Domestic,%,3.63
Protein Content,2000 October,Import,%,
Protein Content,2000 November,Domestic,%,3.43
Protein Content,2000 November,Import,%,
Protein Content,2000 December,Domestic,%,3.22
Protein Content,2000 December,Import,%,
Protein Content,2001 January,Domestic,%,3.09
Protein Content,2001 January,Import,%,
Protein Content,2001 February,Domestic,%,3.07
Protein Content,2001 February,Import,%,
Protein Content,2001 March,Domestic,%,3.02
Protein Content,2001 March,Import,%,
Protein Content,2001 April,Domestic,%,3.12
Protein Content,2001 April,Import,%,
Protein Content,2001 May,Domestic,%,3.25
Protein Content,2001 May,Import,%,
Protein Content,2001 June,Domestic,%,3.25
Protein Content,2001 June,Import,%,
Protein Content,2001 July,Domestic,%,3.25
Protein Content,2001 July,Import,%,
Protein Content,2001 August,Domestic,%,3.3
Protein Content,2001 August,Import,%,
Protein Content,2001 September,Domestic,%,3.47
Protein Content,2001 September,Import,%,
Protein Content,2001 October,Domestic,%,3.61
Protein Content,2001 October,Import,%,
Protein Content,2001 November,Domestic,%,3.57
Protein Content,2001 November,Import,%,
Protein Content,2001 December,Domestic,%,3.31
Protein Content,2001 December,Import,%,
Protein Content,2002 January,Domestic,%,3.12
Protein Content,2002 January,Import,%,
Protein Content,2002 February,Domestic,%,3.1
Protein Content,2002 February,Import,%,
Protein Content,2002 March,Domestic,%,3.05
Protein Content,2002 March,Import,%,
Protein Content,2002 April,Domestic,%,3.2
Protein Content,2002 April,Import,%,
Protein Content,2002 May,Domestic,%,3.26
Protein Content,2002 May,Import,%,
Protein Content,2002 June,Domestic,%,3.23
Protein Content,2002 June,Import,%,
Protein Content,2002 July,Domestic,%,3.22
Protein Content,2002 July,Import,%,
Protein Content,2002 August,Domestic,%,3.26
Protein Content,2002 August,Import,%,
Protein Content,2002 September,Domestic,%,3.42
Protein Content,2002 September,Import,%,
Protein Content,2002 October,Domestic,%,3.58
Protein Content,2002 October,Import,%,
Protein Content,2002 November,Domestic,%,3.49
Protein Content,2002 November,Import,%,
Protein Content,2002 December,Domestic,%,3.24
Protein Content,2002 December,Import,%,
Protein Content,2003 January,Domestic,%,3.12
Protein Content,2003 January,Import,%,
Protein Content,2003 February,Domestic,%,3.1
Protein Content,2003 February,Import,%,
Protein Content,2003 March,Domestic,%,3.09
Protein Content,2003 March,Import,%,
Protein Content,2003 April,Domestic,%,3.25
Protein Content,2003 April,Import,%,
Protein Content,2003 May,Domestic,%,3.29
Protein Content,2003 May,Import,%,
Protein Content,2003 June,Domestic,%,3.25
Protein Content,2003 June,Import,%,
Protein Content,2003 July,Domestic,%,3.24
Protein Content,2003 July,Import,%,
Protein Content,2003 August,Domestic,%,3.26
Protein Content,2003 August,Import,%,
Protein Content,2003 September,Domestic,%,3.42
Protein Content,2003 September,Import,%,
Protein Content,2003 October,Domestic,%,3.6
Protein Content,2003 October,Import,%,
Protein Content,2003 November,Domestic,%,3.57
Protein Content,2003 November,Import,%,
Protein Content,2003 December,Domestic,%,3.28
Protein Content,2003 December,Import,%,
Protein Content,2004 January,Domestic,%,3.12
Protein Content,2004 January,Import,%,
Protein Content,2004 February,Domestic,%,3.11
Protein Content,2004 February,Import,%,
Protein Content,2004 March,Domestic,%,3.12
Protein Content,2004 March,Import,%,
Protein Content,2004 April,Domestic,%,3.22
Protein Content,2004 April,Import,%,
Protein Content,2004 May,Domestic,%,3.26
Protein Content,2004 May,Import,%,
Protein Content,2004 June,Domestic,%,3.22
Protein Content,2004 June,Import,%,
Protein Content,2004 July,Domestic,%,3.25
Protein Content,2004 July,Import,%,
Protein Content,2004 August,Domestic,%,3.31
Protein Content,2004 August,Import,%,
Protein Content,2004 September,Domestic,%,3.5
Protein Content,2004 September,Import,%,
Protein Content,2004 October,Domestic,%,3.64
Protein Content,2004 October,Import,%,
Protein Content,2004 November,Domestic,%,3.51
Protein Content,2004 November,Import,%,
Protein Content,2004 December,Domestic,%,3.29
Protein Content,2004 December,Import,%,
Protein Content,2005 January,Domestic,%,3.17
Protein Content,2005 January,Import,%,
Protein Content,2005 February,Domestic,%,3.18
Protein Content,2005 February,Import,%,
Protein Content,2005 March,Domestic,%,3.15
Protein Content,2005 March,Import,%,
Protein Content,2005 April,Domestic,%,3.2
Protein Content,2005 April,Import,%,
Protein Content,2005 May,Domestic,%,3.26
Protein Content,2005 May,Import,%,
Protein Content,2005 June,Domestic,%,3.22
Protein Content,2005 June,Import,%,
Protein Content,2005 July,Domestic,%,3.22
Protein Content,2005 July,Import,%,
Protein Content,2005 August,Domestic,%,3.3
Protein Content,2005 August,Import,%,
Protein Content,2005 September,Domestic,%,3.5
Protein Content,2005 September,Import,%,
Protein Content,2005 October,Domestic,%,3.63
Protein Content,2005 October,Import,%,
